LID,Year,Val
21,2034,6.0077684
21,2035,6.018816
21,2036,6.0261534
21,2037,6.0334908
21,2038,6.0408282
21,2039,6.0481656
21,2040,6.055503
21,2041,6.0604198
21,2042,6.0653366
21,2043,6.0702534
21,2044,6.0751702
21,2045,6.080087
21,2046,6.0837076
21,2047,6.0873282
21,2048,6.0909488
21,2049,6.0945694
21,2050,6.09819
21,2051,6.103931655
21,2052,6.108200355
21,2053,6.112469055
21,2054,6.116737755
21,2055,6.121006455
21,2056,6.125275155
21,2057,6.129543855
21,2058,6.133812555
21,2059,6.138081255
21,2060,6.142349955
22,2020,47.321434
22,2021,47.519271
22,2022,47.717108
22,2023,47.914945
22,2024,48.112782
22,2025,48.310619
22,2026,48.397775
22,2027,48.484931
22,2028,48.572087
22,2029,48.659243
22,2030,48.746399
22,2031,48.819293
22,2032,48.892187
22,2033,48.965081
22,2034,49.037975
22,2035,49.110869
22,2036,49.164114
22,2037,49.217359
22,2038,49.270604
22,2039,49.323849
22,2040,49.377094
22,2041,49.3976512
22,2042,49.4182084
22,2043,49.4387656
22,2044,49.4593228
22,2045,49.47988
22,2046,49.45361
22,2047,49.42734
22,2048,49.40107
22,2049,49.3748
22,2050,49.34853
22,2051,49.39888633
22,2052,49.39602993
22,2053,49.39317353
22,2054,49.39031713
22,2055,49.38746073
22,2056,49.38460433
22,2057,49.38174793
22,2058,49.37889153
22,2059,49.37603513
22,2060,49.37317873
23,2020,1.329916
23,2021,1.3284208
23,2022,1.3269256
23,2023,1.3254304
23,2024,1.3239352
23,2025,1.32244
23,2026,1.319639
23,2027,1.316838
23,2028,1.314037
23,2029,1.311236
23,2030,1.308435
23,2031,1.3055566
23,2032,1.3026782
23,2033,1.2997998
23,2034,1.2969214
23,2035,1.294043
23,2036,1.2915454
23,2037,1.2890478
23,2038,1.2865502
23,2039,1.2840526
23,2040,1.281555
23,2041,1.2791706
23,2042,1.2767862
23,2043,1.2744018
23,2044,1.2720174
23,2045,1.269633
23,2046,1.266951
23,2047,1.264269
23,2048,1.261587
23,2049,1.258905
23,2050,1.256223
23,2051,1.254027982
23,2052,1.251494782
23,2053,1.248961582
23,2054,1.246428382
23,2055,1.243895182
23,2056,1.241361982
23,2057,1.238828782
23,2058,1.236295582
23,2059,1.233762382
23,2060,1.231229182
24,2020,5.527189
24,2021,5.5292394
24,2022,5.5312898
24,2023,5.5333402
24,2024,5.5353906
24,2025,5.537441
24,2026,5.5338124
24,2027,5.5301838
24,2028,5.5265552
24,2029,5.5229266
24,2030,5.519298
24,2031,5.5116326
24,2032,5.5039672
24,2033,5.4963018
24,2034,5.4886364
24,2035,5.480971
24,2036,5.4700054
24,2037,5.4590398
24,2038,5.4480742
24,2039,5.4371086
24,2040,5.426143
24,2041,5.4131602
24,2042,5.4001774
24,2043,5.3871946
24,2044,5.3742118
24,2045,5.361229
24,2046,5.347125
24,2047,5.333021
24,2048,5.318917
24,2049,5.304813
24,2050,5.290709
24,2051,5.278439691
24,2052,5.264896291
24,2053,5.251352891
24,2054,5.237809491
24,2055,5.224266091
24,2056,5.210722691
24,2057,5.197179291
24,2058,5.183635891
24,2059,5.170092491
24,2060,5.156549091
25,2020,67.197367
25,2021,67.3652552
25,2022,67.5331434
25,2023,67.7010316
25,2024,67.8689198
25,2025,68.036808
25,2026,68.1793264
25,2027,68.3218448
25,2028,68.4643632
25,2029,68.6068816
25,2030,68.7494
25,2031,68.8703842
25,2032,68.9913684
25,2033,69.1123526
25,2034,69.2333368
25,2035,69.354321
25,2036,69.4439386
25,2037,69.5335562
25,2038,69.6231738
25,2039,69.7127914
25,2040,69.802409
25,2041,69.8450832
25,2042,69.8877574
25,2043,69.9304316
25,2044,69.9731058
25,2045,70.01578
25,2046,70.0148046
25,2047,70.0138292
25,2048,70.0128538
25,2049,70.0118784
25,2050,70.010903
25,2051,70.08135422
25,2052,70.10220362
25,2053,70.12305302
25,2054,70.14390242
25,2055,70.16475182
25,2056,70.18560122
25,2057,70.20645062
25,2058,70.22730002
25,2059,70.24814942
25,2060,70.26899882
26,2020,66.892484
26,2021,67.2817192
26,2022,67.6709544
26,2023,68.0601896
26,2024,68.4494248
26,2025,68.83866
26,2026,69.1994939
26,2027,69.5603278
26,2028,69.9211617
26,2029,70.2819956
26,2030,70.6428295
26,2031,70.9809443
26,2032,71.3190591
26,2033,71.6571739
26,2034,71.9952887
26,2035,72.3334035
26,2036,72.6689052
26,2037,73.0044069
26,2038,73.3399086
26,2039,73.6754103
26,2040,74.010912
26,2041,74.3504822
26,2042,74.6900524
26,2043,75.0296226
26,2044,75.3691928
26,2045,75.708763
26,2046,76.0333162
26,2047,76.3578694
26,2048,76.6824226
26,2049,77.0069758
26,2050,77.331529
26,2051,77.68065547
26,2052,78.01271717
26,2053,78.34477887
26,2054,78.67684057
26,2055,79.00890227
26,2056,79.34096397
26,2057,79.67302567
26,2058,80.00508737
26,2059,80.33714907
26,2060,80.66921077
27,2020,10.696535
27,2021,10.6592672
27,2022,10.6219994
27,2023,10.5847316
27,2024,10.5474638
27,2025,10.510196
27,2026,10.4687968
27,2027,10.4273976
27,2028,10.3859984
27,2029,10.3445992
27,2030,10.3032
27,2031,10.2634844
27,2032,10.2237688
27,2033,10.1840532
27,2034,10.1443376
27,2035,10.104622
27,2036,10.0658572
27,2037,10.0270924
27,2038,9.9883276
27,2039,9.9495628
27,2040,9.910798
27,2041,9.8714086
27,2042,9.8320192
27,2043,9.7926298
27,2044,9.7532404
27,2045,9.713851
27,2046,9.6717062
27,2047,9.6295614
27,2048,9.5874166
27,2049,9.5452718
27,2050,9.503127
27,2051,9.465491036
27,2052,9.424723936
27,2053,9.383956836
27,2054,9.343189736
27,2055,9.302422636
27,2056,9.261655536
27,2057,9.220888436
27,2058,9.180121336
27,2059,9.139354236
27,2060,9.098587136
28,2020,9.771975
28,2021,9.757024
28,2022,9.742073
28,2023,9.727122
28,2024,9.712171
28,2025,9.69722
28,2026,9.68158
28,2027,9.66594
28,2028,9.6503
28,2029,9.63466
28,2030,9.61902
28,2031,9.601782
28,2032,9.584544
28,2033,9.567306
28,2034,9.550068
28,2035,9.53283
28,2036,9.5144918
28,2037,9.4961536
28,2038,9.4778154
28,2039,9.4594772
28,2040,9.441139
28,2041,9.423062
28,2042,9.404985
28,2043,9.386908
28,2044,9.368831
28,2045,9.350754
28,2046,9.3346736
28,2047,9.3185932
28,2048,9.3025128
28,2049,9.2864324
28,2050,9.270352
28,2051,9.251004436
28,2052,9.233925736
28,2053,9.216847036
28,2054,9.199768336
28,2055,9.182689636
28,2056,9.165610936
28,2057,9.148532236
28,2058,9.131453536
28,2059,9.114374836
28,2060,9.097296136
29,2020,4.966879
29,2021,5.0280892
29,2022,5.0892994
29,2023,5.1505096
29,2024,5.2117198
29,2025,5.27293
29,2026,5.319222
29,2027,5.365514
29,2028,5.411806
29,2029,5.458098
29,2030,5.50439
29,2031,5.5463862
29,2032,5.5883824
29,2033,5.6303786
29,2034,5.6723748
29,2035,5.714371
29,2036,5.7524048
29,2037,5.7904386
29,2038,5.8284724
29,2039,5.8665062
29,2040,5.90454
29,2041,5.9383152
29,2042,5.9720904
29,2043,6.0058656
29,2044,6.0396408
29,2045,6.073416
29,2046,6.101371
29,2047,6.129326
29,2048,6.157281
29,2049,6.185236
29,2050,6.213191
29,2051,6.250669964
29,2052,6.281535064
29,2053,6.312400164
29,2054,6.343265264
29,2055,6.374130364
29,2056,6.404995464
29,2057,6.435860564
29,2058,6.466725664
29,2059,6.497590764
29,2060,6.528455864
30,2020,60.286529
30,2021,60.246929
30,2022,60.207329
30,2023,60.167729
30,2024,60.128129
30,2025,60.088529
30,2026,60.0593256
30,2027,60.0301222
30,2028,60.0009188
30,2029,59.9717154
30,2030,59.942512
30,2031,59.896006
30,2032,59.8495
